"Stream","Lot","Quarter","DateCible","ResteKEuro","ResteJH","Priorite","Owner"
"S1","RBAC + Admin Portal","Q4-2026","2027-01-15","10","5","P1","CTO"
"S2","Regulatory Engine MVP","Q1-2027","2027-03-01","15","8","P1","CTO"
"S2","Diagnostic Engine MVP","Q1-2027","2027-03-15","12","6","P1","CTO"
"S2","Compliance Engine MVP","Q1-2027","2027-03-30","14","7","P1","CTO"
"S2","Risk Engine MVP","Q2-2027","2027-06-15","16","8","P1","CTO"
"S3","Diag Gov Express","Q1-2027","2027-02-28","5","2","P1","CTO"
"S3","Diag ESG Express","Q1-2027","2027-02-28","5","2","P1","CTO"
"S3","Diag LBC/FT Express","Q1-2027","2027-02-28","5","2","P1","CTO"
"S4","Gov 360 + Plan Action","Q2-2027","2027-05-30","18","9","P1","CTO"
"S4","Risk Heatmap Auto","Q2-2027","2027-06-15","12","6","P1","CTO"
"S4","IA Copilot v1","Q2-2027","2027-06-30","20","10","P1","CTO"
