"Stream","Lot","DateCible","ResteJH","Statut","Quarter"
"S1","Supabase Auth Prod","2026-12-15","4","Done","Q4-2026"
"S1","Stripe Billing","2026-12-31","3","Done","Q4-2026"
"S1","RBAC + Admin Portal","2027-01-15","5","Todo","Q4-2026"
"S2","Regulatory Engine MVP","2027-03-01","8","Todo","Q1-2027"
"S2","Diagnostic Engine MVP","2027-03-15","6","Todo","Q1-2027"
"S2","Compliance Engine MVP","2027-03-30","7","Todo","Q1-2027"
"S2","Risk Engine MVP","2027-06-15","8","Todo","Q2-2027"
"S3","Diag Gov Express","2027-02-28","2","Todo","Q1-2027"
"S3","Diag ESG Express","2027-02-28","2","Todo","Q1-2027"
"S3","Diag LBC/FT Express","2027-02-28","2","Todo","Q1-2027"
"S4","Gov 360 + Plan Action","2027-05-30","9","Todo","Q2-2027"
"S4","Risk Heatmap Auto","2027-06-15","6","Todo","Q2-2027"
"S4","IA Copilot v1","2027-06-30","10","Todo","Q2-2027"
"S5","SSO Readdy vers KOS","2026-11-30","2","Doing","Q4-2026"
"S5","Webhooks Forms Readdy","2026-12-20","3","Todo","Q4-2026"
