"Stream","Phase","Quarter","Lot","Statut","ResteKEuro","ResteJH","DateCible","Priorite","Owner","DateFin"
"S1","Socle KOS","Q4-2026","Supabase Auth Prod","Done","8","4","2026-12-15","P1","CTO","2026-12-15"
"S1","Socle KOS","Q4-2026","Stripe Billing","Done","6","3","2026-12-31","P1","CTO","2026-12-31"
"S1","Socle KOS","Q4-2026","RBAC + Admin Portal","Done","10","5","2027-01-15","P1","CTO","2027-01-15"
"S2","Moteurs","Q1-2027","Regulatory Engine MVP","Done","15","8","2027-03-01","P1","Lead Dev","2027-03-01"
"S2","Moteurs","Q1-2027","Diagnostic Engine MVP","Done","12","6","2027-03-15","P1","Lead Dev","2027-03-15"
"S2","Moteurs","Q1-2027","Compliance Engine MVP","Done","14","7","2027-03-30","P1","Lead Dev","2027-03-30"
"S2","Moteurs","Q2-2027","Risk Engine MVP","Done","16","8","2027-06-15","P1","CTO","2026-07-18"
"S3","Freemium","Q1-2027","Diag Gov Express","Done","5","2","2027-02-28","P1","CTO","2027-02-28"
"S3","Freemium","Q1-2027","Diag ESG Express","Done","5","2","2027-02-28","P1","CTO","2027-02-28"
"S3","Freemium","Q1-2027","Diag LBC/FT Express","Done","5","2","2027-02-28","P1","CTO","2027-02-28"
"S4","Premium","Q2-2027","Gov 360 + Plan Action","Done","18","9","2027-05-30","P1","CTO","2026-07-18"
"S4","Premium","Q2-2027","Risk Heatmap Auto","Done","12","6","2027-06-15","P1","CTO","2026-07-18"
"S4","Premium","Q2-2027","IA Copilot v1","Done","20","10","2027-06-30","P1","CTO","2026-07-18"
"S5","Découplage","Q4-2026","SSO Readdy vers KOS","Done","4","2","2026-11-30","P0","Lead Dev","2026-11-30"
"S5","Découplage","Q4-2026","Webhooks Forms Readdy","Done","6","3","2026-12-20","P1","CTO","2026-12-20"
